Swear_Phrase,Language,Intensity
tujha aila kutryawani madarchod gaandu,Hinglish,Nuclear
bhosdike gand mar phad dunga,Hinglish,Nuclear
bhadwa lavde ka baal lund,Hinglish,Nuclear
mar behenchod randi mar,Hinglish,Nuclear
ayica dana lund bhadwa,Hinglish,Nuclear
chutiya tuzya aaicha foda randi,Hinglish/Marathi Mix,Nuclear
hijda ayica dana ki aulad,Hinglish,Nuclear
bhosdi wali ki aulad ki aulad,Hinglish,Nuclear
harami chutiya choos choos,Hinglish,Nuclear
gaandu harami phadke phad dunga,Hinglish,Nuclear
behenchod randi gaandu bhadwa,Hinglish,Nuclear
lavde ka baal hijda randi,Hinglish,Nuclear
aai chi gand bhosdike randi,Hinglish/Marathi Mix,Nuclear
bhosdike lavde ka baal randi,Hinglish,Nuclear
phad dunga tuzya aaichi pucchi madarchod,Hinglish/Marathi Mix,Nuclear
tujha aila kutryawani hijda phadke,Hinglish,Nuclear
phadke zavadya madarchod daal dunga,Hinglish,Nuclear
gand mar randi lund,Hinglish,Nuclear
bhadwa randi ka lund phad dunga,Hinglish,Nuclear
ayica dana bhadwa mar,Hinglish,Nuclear
kutte ki aulad lund gaandu,Hinglish,Nuclear
phadke harami chutiya phadke,Hinglish,Nuclear
tuzya aaicha foda madarchod lawda,Hinglish/Marathi Mix,Nuclear
bhosdike chut mein lund randi,Hinglish,Nuclear
harami aai chi gand ki aulad,Hinglish/Marathi Mix,Nuclear
bhadwa gand mar lund,Hinglish,Nuclear
ki aulad aai chi gand choos,Hinglish/Marathi Mix,Nuclear
lavde ka baal bhosdike gaandu,Hinglish,Nuclear
pucchi khajvya madarchod chutiya,Hinglish/Marathi Mix,Nuclear
bhosdike tuzya aaichi pucchi ki aulad,Hinglish/Marathi Mix,Nuclear
lund gaandu harami hijda,Hinglish,Nuclear
tujha aila kutryawani choos randi,Hinglish,Nuclear
chutiya tuzya aaicha foda madarchod,Hinglish/Marathi Mix,Nuclear
ki aulad lavde ka baal madarchod,Hinglish,Nuclear
randi behen ki chut phad dunga,Hinglish,Nuclear
lavda choos mar bhosdike,Hinglish,Nuclear
daal dunga randi ka lund mar,Hinglish,Nuclear
chut mein lund mar phadke,Hinglish,Nuclear
choos harami chutiya randi,Hinglish,Nuclear
behenchod randi mar lund,Hinglish,Nuclear
madarchod bhosdike lawda bhadwa,Hinglish,Nuclear
gaandu pucchi khajvya chutiya,Hinglish/Marathi Mix,Nuclear
gaandu harami harami randi,Hinglish,Nuclear
gaandu bhosdi wali mar,Hinglish,Nuclear
hijda tuzya aaichi pucchi gaandu,Hinglish/Marathi Mix,Nuclear
daal dunga tujha aila kutryawani bhadwa,Hinglish,Nuclear
phad dunga ayica dana lund,Hinglish,Nuclear
gaand phaad mar bhadwa,Hinglish,Nuclear
behen ki chut mar ki aulad,Hinglish,Nuclear
chut mein lund phadke chutiya,Hinglish,Nuclear
maa ka bhosada chutiya gaandu,Hinglish,Nuclear
bhosdike lavde ka baal lawda,Hinglish,Nuclear
daal dunga tuzya aaicha foda lund,Hinglish/Marathi Mix,Nuclear
phad dunga teri maa ki chut harami,Hinglish,Nuclear
hijda maa ka bhosada chutiya,Hinglish,Nuclear
bhadwa behenchod randi randi,Hinglish,Nuclear
phadke pucchi khajvya lund,Hinglish/Marathi Mix,Nuclear
mar maa ka bhosada ki aulad,Hinglish,Nuclear
hijda lavda choos ki aulad,Hinglish,Nuclear
gand mar choos hijda,Hinglish,Nuclear
lund pucchi khajvya bhosdike,Hinglish/Marathi Mix,Nuclear
aai chi gand randi hijda,Hinglish/Marathi Mix,Nuclear
kutte ki aulad lund hijda,Hinglish,Nuclear
randi tujha aila kutryawani mar,Hinglish,Nuclear
phadke gaandu harami phad dunga,Hinglish,Nuclear
daal dunga lavde ka baal gaandu,Hinglish,Nuclear
mar pucchi khajvya mar,Hinglish/Marathi Mix,Nuclear
teri maa ki chut phadke randi,Hinglish,Nuclear
zavadya madarchod harami daal dunga,Hinglish,Nuclear
gaandu harami chutiya hijda,Hinglish,Nuclear
randi ka lund daal dunga gaandu,Hinglish,Nuclear
gaandu chut mein lund randi,Hinglish,Nuclear
chut mein lund daal dunga mar,Hinglish,Nuclear
harami harami chutiya mar,Hinglish,Nuclear
randi lavde ka baal gaandu,Hinglish,Nuclear
ki aulad harami chutiya phad dunga,Hinglish,Nuclear
kutte ki aulad phadke lawda,Hinglish,Nuclear
zavadya madarchod lund phad dunga,Hinglish,Nuclear
randi tuzya aaichi pucchi daal dunga,Hinglish/Marathi Mix,Nuclear
kutte ki aulad lund bhosdike,Hinglish,Nuclear
randi ka lund madarchod choos,Hinglish,Nuclear
phad dunga pucchi khajvya madarchod,Hinglish/Marathi Mix,Nuclear
behenchod randi bhosdike choos,Hinglish,Nuclear
lavde ka baal gaandu lund,Hinglish,Nuclear
ki aulad tuzya aaicha foda harami,Hinglish/Marathi Mix,Nuclear
gaandu harami lund lawda,Hinglish,Nuclear
madarchod lavde ka baal hijda,Hinglish,Nuclear
madarchod bhosdike bhosdike phad dunga,Hinglish,Nuclear
gaandu harami madarchod ki aulad,Hinglish,Nuclear
aai chi gand ki aulad phadke,Hinglish/Marathi Mix,Nuclear
ayica dana daal dunga lund,Hinglish,Nuclear
daal dunga tuzya aaicha foda chutiya,Hinglish/Marathi Mix,Nuclear
tuzya aaichi pucchi daal dunga phad dunga,Hinglish/Marathi Mix,Nuclear
lavde ka baal lund ki aulad,Hinglish,Nuclear
pucchi khajvya mar hijda,Hinglish/Marathi Mix,Nuclear
randi gaandu harami randi,Hinglish,Nuclear
lund gand phatli bhenchod madarchod,Hinglish/Marathi Mix,Nuclear
phadke chut mein lund lawda,Hinglish,Nuclear
lavda choos madarchod lawda,Hinglish,Nuclear
lawda harami chutiya daal dunga,Hinglish,Nuclear
gaand phaad lund phadke,Hinglish,Nuclear
chutiya harami chutiya daal dunga,Hinglish,Nuclear
lavde ka baal bhosdike phadke,Hinglish,Nuclear
maa ka bhosada hijda daal dunga,Hinglish,Nuclear
gaandu harami mar lund,Hinglish,Nuclear
tuzya aaicha foda lund mar,Hinglish/Marathi Mix,Nuclear
bhosdike zavadya madarchod bhadwa,Hinglish,Nuclear
teri maa ki chut chutiya phad dunga,Hinglish,Nuclear
lawda ayica dana phad dunga,Hinglish,Nuclear
lund lavda choos daal dunga,Hinglish,Nuclear
choos gaand phaad lund,Hinglish,Nuclear
zavadya madarchod lund gaandu,Hinglish,Nuclear
choos gaand phaad bhosdike,Hinglish,Nuclear
gaandu zavadya madarchod daal dunga,Hinglish,Nuclear
lund ayica dana phad dunga,Hinglish,Nuclear
harami chutiya lund daal dunga,Hinglish,Nuclear
tuzya aaicha foda bhosdike chutiya,Hinglish/Marathi Mix,Nuclear
hijda tuzya aaichi pucchi randi,Hinglish/Marathi Mix,Nuclear
bhadwa pucchi khajvya daal dunga,Hinglish/Marathi Mix,Nuclear
harami gand phatli bhenchod madarchod,Hinglish/Marathi Mix,Nuclear
bhosdike maa ka bhosada bhadwa,Hinglish,Nuclear
harami chutiya mar hijda,Hinglish,Nuclear
harami chutiya randi lund,Hinglish,Nuclear
lavda choos harami gaandu,Hinglish,Nuclear
pucchi khajvya ki aulad phad dunga,Hinglish/Marathi Mix,Nuclear
teri maa ki chut chutiya randi,Hinglish,Nuclear
behen ki chut choos bhadwa,Hinglish,Nuclear
harami pucchi khajvya phad dunga,Hinglish/Marathi Mix,Nuclear
hijda tujha aila kutryawani harami,Hinglish,Nuclear
gand mar mar madarchod,Hinglish,Nuclear
gaandu harami randi randi,Hinglish,Nuclear
kutte ki aulad harami bhadwa,Hinglish,Nuclear
chut mein lund mar hijda,Hinglish,Nuclear
harami chutiya bhadwa lund,Hinglish,Nuclear
choos teri maa ki chut choos,Hinglish,Nuclear
gaand phaad phadke gaandu,Hinglish,Nuclear
bhadwa gaand phaad randi,Hinglish,Nuclear
gaandu lavde ka baal hijda,Hinglish,Nuclear
behenchod randi phad dunga choos,Hinglish,Nuclear
hijda lavda choos phadke,Hinglish,Nuclear
maa ka bhosada ki aulad lund,Hinglish,Nuclear
teri maa ki chut gaandu randi,Hinglish,Nuclear
gand phatli bhenchod harami lund,Hinglish/Marathi Mix,Nuclear
ayica dana madarchod daal dunga,Hinglish,Nuclear
choos gaand phaad hijda,Hinglish,Nuclear
ayica dana mar harami,Hinglish,Nuclear
mar zavadya madarchod madarchod,Hinglish,Nuclear
kutte ki aulad lawda harami,Hinglish,Nuclear
harami lavde ka baal lund,Hinglish,Nuclear
madarchod lavde ka baal phadke,Hinglish,Nuclear
gand mar bhadwa bhadwa,Hinglish,Nuclear
choos chut mein lund ki aulad,Hinglish,Nuclear
gaand phaad hijda hijda,Hinglish,Nuclear
tuzya aaicha foda lawda lund,Hinglish/Marathi Mix,Nuclear
daal dunga gaandu harami gaandu,Hinglish,Nuclear
gaand phaad daal dunga mar,Hinglish,Nuclear
zavadya madarchod choos mar,Hinglish,Nuclear
phad dunga chut mein lund gaandu,Hinglish,Nuclear
phadke pucchi khajvya hijda,Hinglish/Marathi Mix,Nuclear
choos maa ka bhosada lund,Hinglish,Nuclear
phadke zavadya madarchod hijda,Hinglish,Nuclear
choos ayica dana ki aulad,Hinglish,Nuclear
gaandu tujha aila kutryawani hijda,Hinglish,Nuclear
chutiya behen ki chut phad dunga,Hinglish,Nuclear
mar gaand phaad phadke,Hinglish,Nuclear
randi ka lund choos gaandu,Hinglish,Nuclear
tujha aila kutryawani phadke phadke,Hinglish,Nuclear
randi ka lund choos bhosdike,Hinglish,Nuclear
gand mar phad dunga bhadwa,Hinglish,Nuclear
hijda behen ki chut hijda,Hinglish,Nuclear
ki aulad gand phatli bhenchod daal dunga,Hinglish/Marathi Mix,Nuclear
hijda madarchod bhosdike ki aulad,Hinglish,Nuclear
bhosdike aai chi gand harami,Hinglish/Marathi Mix,Nuclear
ayica dana lund mar,Hinglish,Nuclear
hijda gand phatli bhenchod randi,Hinglish/Marathi Mix,Nuclear
tuzya aaichi pucchi gaandu daal dunga,Hinglish/Marathi Mix,Nuclear
phad dunga lavde ka baal ki aulad,Hinglish,Nuclear
harami randi ka lund ki aulad,Hinglish,Nuclear
lund tuzya aaichi pucchi randi,Hinglish/Marathi Mix,Nuclear
chut mein lund harami madarchod,Hinglish,Nuclear
bhosdi wali phad dunga madarchod,Hinglish,Nuclear
pucchi khajvya lawda randi,Hinglish/Marathi Mix,Nuclear
tuzya aaicha foda lawda bhadwa,Hinglish/Marathi Mix,Nuclear
bhosdi wali daal dunga madarchod,Hinglish,Nuclear
phadke maa ka bhosada daal dunga,Hinglish,Nuclear
gaandu harami hijda hijda,Hinglish,Nuclear
harami chutiya harami daal dunga,Hinglish,Nuclear
hijda gaandu harami ki aulad,Hinglish,Nuclear
pucchi khajvya daal dunga bhosdike,Hinglish/Marathi Mix,Nuclear
lawda lavda choos phadke,Hinglish,Nuclear
kutte ki aulad harami bhosdike,Hinglish,Nuclear
lawda teri maa ki chut harami,Hinglish,Nuclear
phadke tujha aila kutryawani harami,Hinglish,Nuclear
lavde ka baal madarchod randi,Hinglish,Nuclear
lavda choos gaandu lund,Hinglish,Nuclear
zavadya madarchod lawda daal dunga,Hinglish,Nuclear
phadke pucchi khajvya lawda,Hinglish/Marathi Mix,Nuclear
harami chut mein lund gaandu,Hinglish,Nuclear
pucchi khajvya ki aulad randi,Hinglish/Marathi Mix,Nuclear
bhosdike behenchod randi choos,Hinglish,Nuclear
bhadwa randi ka lund daal dunga,Hinglish,Nuclear
tuzya aaicha foda ki aulad hijda,Hinglish/Marathi Mix,Nuclear
madarchod lavde ka baal harami,Hinglish,Nuclear
behenchod randi hijda bhadwa,Hinglish,Nuclear
lawda chut mein lund daal dunga,Hinglish,Nuclear
tujha aila kutryawani gaandu mar,Hinglish,Nuclear
tuzya aaichi pucchi lund lawda,Hinglish/Marathi Mix,Nuclear
madarchod bhosdike ki aulad phadke,Hinglish,Nuclear
bhosdi wali chutiya bhosdike,Hinglish,Nuclear
gaandu gand phatli bhenchod randi,Hinglish/Marathi Mix,Nuclear
madarchod kutte ki aulad phadke,Hinglish,Nuclear
aai chi gand bhosdike phad dunga,Hinglish/Marathi Mix,Nuclear
tujha aila kutryawani harami randi,Hinglish,Nuclear
zavadya madarchod daal dunga mar,Hinglish,Nuclear
zavadya madarchod phadke madarchod,Hinglish,Nuclear
gaand phaad harami chutiya,Hinglish,Nuclear
chutiya madarchod bhosdike lund,Hinglish,Nuclear
lawda ayica dana gaandu,Hinglish,Nuclear
madarchod harami chutiya daal dunga,Hinglish,Nuclear
madarchod tujha aila kutryawani ki aulad,Hinglish,Nuclear
lawda teri maa ki chut bhosdike,Hinglish,Nuclear
lavde ka baal lawda harami,Hinglish,Nuclear
aai chi gand ki aulad lund,Hinglish/Marathi Mix,Nuclear
randi bhosdi wali phadke,Hinglish,Nuclear
tujha aila kutryawani randi ki aulad,Hinglish,Nuclear
zavadya madarchod phadke lund,Hinglish,Nuclear
phadke gand phatli bhenchod lawda,Hinglish/Marathi Mix,Nuclear
tuzya aaichi pucchi randi chutiya,Hinglish/Marathi Mix,Nuclear
chutiya lavde ka baal randi,Hinglish,Nuclear
bhosdike gaand phaad lund,Hinglish,Nuclear
maa ka bhosada bhosdike randi,Hinglish,Nuclear
harami behenchod randi gaandu,Hinglish,Nuclear
behen ki chut lund chutiya,Hinglish,Nuclear
madarchod gaandu harami bhadwa,Hinglish,Nuclear
ayica dana phadke bhadwa,Hinglish,Nuclear
randi tuzya aaichi pucchi lawda,Hinglish/Marathi Mix,Nuclear
behenchod randi phadke hijda,Hinglish,Nuclear
phad dunga gaandu harami gaandu,Hinglish,Nuclear
phad dunga chut mein lund ki aulad,Hinglish,Nuclear
hijda teri maa ki chut daal dunga,Hinglish,Nuclear
hijda pucchi khajvya randi,Hinglish/Marathi Mix,Nuclear
choos harami chutiya choos,Hinglish,Nuclear
daal dunga behen ki chut ki aulad,Hinglish,Nuclear
tuzya aaicha foda ki aulad bhadwa,Hinglish/Marathi Mix,Nuclear
kutte ki aulad randi mar,Hinglish,Nuclear
gaand phaad harami bhadwa,Hinglish,Nuclear
maa ka bhosada randi madarchod,Hinglish,Nuclear
bhadwa bhosdi wali randi,Hinglish,Nuclear
chutiya zavadya madarchod chutiya,Hinglish,Nuclear
gaandu ayica dana phad dunga,Hinglish,Nuclear
randi tujha aila kutryawani chutiya,Hinglish,Nuclear
harami gand mar phadke,Hinglish,Nuclear
tujha aila kutryawani bhadwa randi,Hinglish,Nuclear
choos pucchi khajvya daal dunga,Hinglish/Marathi Mix,Nuclear
kutte ki aulad bhadwa gaandu,Hinglish,Nuclear
harami randi ka lund harami,Hinglish,Nuclear
randi behenchod randi lawda,Hinglish,Nuclear
harami tujha aila kutryawani phadke,Hinglish,Nuclear
choos chut mein lund phadke,Hinglish,Nuclear
bhosdike pucchi khajvya gaandu,Hinglish/Marathi Mix,Nuclear
pucchi khajvya ki aulad gaandu,Hinglish/Marathi Mix,Nuclear
madarchod madarchod bhosdike phad dunga,Hinglish,Nuclear
phad dunga tujha aila kutryawani phad dunga,Hinglish,Nuclear
gand mar ki aulad phad dunga,Hinglish,Nuclear
tuzya aaichi pucchi bhadwa hijda,Hinglish/Marathi Mix,Nuclear
chut mein lund phadke lawda,Hinglish,Nuclear
behen ki chut phad dunga chutiya,Hinglish,Nuclear
randi ka lund chutiya mar,Hinglish,Nuclear
daal dunga harami chutiya lawda,Hinglish,Nuclear
ayica dana chutiya ki aulad,Hinglish,Nuclear
zavadya madarchod bhadwa hijda,Hinglish,Nuclear
ayica dana daal dunga lawda,Hinglish,Nuclear
mar madarchod bhosdike gaandu,Hinglish,Nuclear
daal dunga tujha aila kutryawani mar,Hinglish,Nuclear
gaand phaad choos choos,Hinglish,Nuclear
lund randi ka lund lund,Hinglish,Nuclear
gaand phaad bhosdike randi,Hinglish,Nuclear
tujha aila kutryawani lund harami,Hinglish,Nuclear
behen ki chut lawda mar,Hinglish,Nuclear
zavadya madarchod ki aulad phad dunga,Hinglish,Nuclear
tujha aila kutryawani chutiya ki aulad,Hinglish,Nuclear
maa ka bhosada bhadwa bhadwa,Hinglish,Nuclear
hijda maa ka bhosada harami,Hinglish,Nuclear
ki aulad behen ki chut ki aulad,Hinglish,Nuclear
madarchod bhosdike lund harami,Hinglish,Nuclear
madarchod bhosdike harami bhosdike,Hinglish,Nuclear
phad dunga behenchod randi madarchod,Hinglish,Nuclear
lavda choos ki aulad mar,Hinglish,Nuclear
gaandu tuzya aaicha foda randi,Hinglish/Marathi Mix,Nuclear
randi ka lund phad dunga harami,Hinglish,Nuclear
tuzya aaichi pucchi harami mar,Hinglish/Marathi Mix,Nuclear
harami chutiya phadke harami,Hinglish,Nuclear
behen ki chut chutiya bhadwa,Hinglish,Nuclear
randi ka lund daal dunga chutiya,Hinglish,Nuclear
phad dunga tuzya aaicha foda mar,Hinglish/Marathi Mix,Nuclear
randi pucchi khajvya chutiya,Hinglish/Marathi Mix,Nuclear
behenchod randi harami gaandu,Hinglish,Nuclear
hijda madarchod bhosdike lund,Hinglish,Nuclear
teri maa ki chut randi mar,Hinglish,Nuclear
zavadya madarchod phad dunga bhadwa,Hinglish,Nuclear
choos randi ka lund bhadwa,Hinglish,Nuclear
bhosdike lavde ka baal harami,Hinglish,Nuclear
ki aulad tuzya aaichi pucchi lund,Hinglish/Marathi Mix,Nuclear
ki aulad zavadya madarchod madarchod,Hinglish,Nuclear
hijda gand mar hijda,Hinglish,Nuclear
phadke tuzya aaicha foda lund,Hinglish/Marathi Mix,Nuclear
aai chi gand harami ki aulad,Hinglish/Marathi Mix,Nuclear
hijda pucchi khajvya daal dunga,Hinglish/Marathi Mix,Nuclear
pucchi khajvya phadke daal dunga,Hinglish/Marathi Mix,Nuclear
zavadya madarchod choos choos,Hinglish,Nuclear
hijda behenchod randi phadke,Hinglish,Nuclear
aai chi gand phad dunga bhadwa,Hinglish/Marathi Mix,Nuclear
lund harami chutiya choos,Hinglish,Nuclear
daal dunga pucchi khajvya chutiya,Hinglish/Marathi Mix,Nuclear
ki aulad gaand phaad phadke,Hinglish,Nuclear
gaandu behen ki chut gaandu,Hinglish,Nuclear
behen ki chut phadke harami,Hinglish,Nuclear
pucchi khajvya gaandu bhosdike,Hinglish/Marathi Mix,Nuclear
lavda choos lawda daal dunga,Hinglish,Nuclear
chutiya gand mar harami,Hinglish,Nuclear
aai chi gand ki aulad madarchod,Hinglish/Marathi Mix,Nuclear
gand mar ki aulad bhadwa,Hinglish,Nuclear
gand phatli bhenchod bhadwa phadke,Hinglish/Marathi Mix,Nuclear
bhosdi wali choos lawda,Hinglish,Nuclear
tujha aila kutryawani gaandu lund,Hinglish,Nuclear
pucchi khajvya bhosdike bhadwa,Hinglish/Marathi Mix,Nuclear
maa ka bhosada lawda bhadwa,Hinglish,Nuclear
lund tuzya aaichi pucchi harami,Hinglish/Marathi Mix,Nuclear
choos aai chi gand ki aulad,Hinglish/Marathi Mix,Nuclear
choos behenchod randi bhadwa,Hinglish,Nuclear
teri maa ki chut daal dunga lawda,Hinglish,Nuclear
ki aulad behenchod randi bhadwa,Hinglish,Nuclear
bhosdike gaandu harami phadke,Hinglish,Nuclear
chutiya maa ka bhosada chutiya,Hinglish,Nuclear
tuzya aaicha foda chutiya madarchod,Hinglish/Marathi Mix,Nuclear
madarchod ayica dana choos,Hinglish,Nuclear
phadke kutte ki aulad mar,Hinglish,Nuclear
randi ka lund mar hijda,Hinglish,Nuclear
aai chi gand lawda daal dunga,Hinglish/Marathi Mix,Nuclear
mar teri maa ki chut gaandu,Hinglish,Nuclear
gaand phaad hijda lawda,Hinglish,Nuclear
ki aulad maa ka bhosada choos,Hinglish,Nuclear
randi gaandu harami bhosdike,Hinglish,Nuclear
ki aulad gand phatli bhenchod randi,Hinglish/Marathi Mix,Nuclear
ayica dana bhadwa phad dunga,Hinglish,Nuclear
ayica dana hijda choos,Hinglish,Nuclear
hijda gand mar lawda,Hinglish,Nuclear
harami aai chi gand madarchod,Hinglish/Marathi Mix,Nuclear
maa ka bhosada phad dunga mar,Hinglish,Nuclear
lund gaandu harami ki aulad,Hinglish,Nuclear
phadke zavadya madarchod bhadwa,Hinglish,Nuclear
randi tuzya aaicha foda lawda,Hinglish/Marathi Mix,Nuclear
harami chutiya mar chutiya,Hinglish,Nuclear
